code_module,code_presentation,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,sum_click,date_registration,Student_ID,Risk_Probability_Value,Risk_Probability,ML_Prediction,Prediction_Band,Primary_Risk_Factors,Intervention_Status
5,3,0,5,0,0,0,-0.3402289803143461,2.440667382201166,0,-0.7179231387363445,-0.0525520117059953,648650,0.9479308564494093,94.8%,1,band_1,Low Online Engagement | High Course Load,ACTION REQUIRED: High Risk
2,3,0,3,2,3,0,-0.3402289803143461,3.901542581122849,0,-0.7179231387363445,-0.58036613756112,675116,0.9471478564628968,94.7%,1,band_1,Low Online Engagement | High Course Load,ACTION REQUIRED: High Risk
5,3,1,3,2,2,0,-0.3402289803143461,3.901542581122849,0,-0.7179231387363445,-0.6615683107696007,640140,0.9458454315252497,94.6%,1,band_1,Low Online Engagement | High Course Load,ACTION REQUIRED: High Risk
2,3,0,5,2,4,0,-0.3402289803143461,1.7102297827403254,0,-0.7179231387363445,-0.9051748303950428,489990,0.945460426372083,94.5%,1,band_1,Low Online Engagement | High Course Load,ACTION REQUIRED: High Risk
2,3,0,6,1,0,0,-0.3402289803143461,1.7102297827403254,0,-0.7179231387363445,-0.1743552715187164,647391,0.9445804845621596,94.5%,1,band_1,Low Online Engagement | High Course Load,ACTION REQUIRED: High Risk
3,3,1,12,2,1,0,-0.3402289803143461,3.901542581122849,1,-0.7179231387363445,-0.1743552715187164,645906,0.9432601841162973,94.3%,1,band_1,Low Online Engagement | High Course Load,ACTION REQUIRED: High Risk
2,3,1,7,0,0,0,-0.3402289803143461,0.9797921832794844,0,-0.7179231387363445,-0.5194645076547595,596245,0.9418988132655345,94.2%,1,band_1,Low Online Engagement | High Course Load,ACTION REQUIRED: High Risk
5,1,0,2,2,0,0,-0.3402289803143461,2.440667382201166,0,-0.7179231387363445,-1.026978090207764,581716,0.9418085147339029,94.2%,1,band_1,Low Online Engagement | High Course Load,ACTION REQUIRED: High Risk
2,3,0,1,2,2,0,-0.3402289803143461,1.7102297827403254,1,-0.7179231387363445,-0.8036721138844419,565707,0.9418073996179185,94.2%,1,band_1,Low Online Engagement | High Course Load,ACTION REQUIRED: High Risk
5,3,0,3,2,1,0,-0.3402289803143461,0.9797921832794844,0,-0.7179231387363445,-1.2096829799268456,654732,0.9416702651990534,94.2%,1,band_1,Low Online Engagement | High Course Load,ACTION REQUIRED: High Risk
3,3,0,7,2,1,0,-0.3402289803143461,0.9797921832794844,0,-0.7179231387363445,0.0489507048046055,684886,0.9416700418975056,94.2%,1,band_1,Low Online Engagement | High Course Load,ACTION REQUIRED: High Risk
5,3,0,8,2,7,0,-0.3402289803143461,2.440667382201166,1,-0.7179231387363445,-1.3314862397395666,653051,0.9414735954390022,94.1%,1,band_1,Low Online Engagement | High Course Load,ACTION REQUIRED: High Risk
3,3,0,9,2,3,0,-0.3402289803143461,3.901542581122849,0,-0.7179231387363445,-1.7577976490840903,483343,0.9412487892777083,94.1%,1,band_1,Low Online Engagement | High Course Load,ACTION REQUIRED: High Risk
2,3,0,11,1,6,0,-0.3402289803143461,0.9797921832794844,0,-0.7179231387363445,-1.0675791768120042,643269,0.940993688547533,94.1%,1,band_1,Low Online Engagement | High Course Load,ACTION REQUIRED: High Risk
2,3,0,5,0,2,1,-0.3402289803143461,0.9797921832794844,0,-0.7179231387363445,0.6376664605660907,648354,0.9409152113737405,94.1%,1,band_1,Low Online Engagement | Late Registration | High Course Load,ACTION REQUIRED: High Risk
3,2,1,3,2,3,1,-0.3402289803143461,2.440667382201166,0,-0.7179231387363445,-1.940502538803172,315633,0.9408649393261689,94.1%,1,band_1,Low Online Engagement | High Course Load,ACTION REQUIRED: High Risk
