code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,target,total_clicks,active_days,avg_clicks_per_day,relative_engagement,avg_score,avg_lateness
AAA,2013J,11391,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,Pass,0,487.0,13.0,6.0875,-0.20843562315754147,78.0,-1.0
AAA,2013J,28400,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass,0,625.0,22.0,3.787878787878788,0.0426717458454515,70.0,3.0
AAA,2013J,30268,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn,1,281.0,12.0,3.6973684210526314,-0.5832770580460672,0.0,0.0
AAA,2013J,31604,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,0,673.0,31.0,3.416243654822335,0.13001343941170992,72.0,-2.0
AAA,2013J,32885,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,0,601.0,26.0,3.828025477707006,-0.000999100937677711,69.0,7.0
AAA,2013J,38053,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,0,821.0,40.0,3.6327433628318584,0.39931699457434006,79.0,0.0
AAA,2013J,45462,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass,0,639.0,20.0,5.8090909090909095,0.06814640646894354,70.0,1.0
AAA,2013J,45642,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,0,495.0,25.0,2.6902173913043477,-0.1938786742298317,72.0,-1.0
AAA,2013J,52130,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,Pass,0,442.0,27.0,3.179856115107914,-0.29031846087590873,72.0,0.0
AAA,2013J,53025,M,North Region,Post Graduate Qualification,?,55<=,0,60,N,Pass,0,652.0,27.0,3.5628415300546448,0.09180144847647186,71.0,-10.0
AAA,2013J,57506,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,0,582.0,30.0,4.041666666666667,-0.03557185464098833,68.0,-1.0
AAA,2013J,58873,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,0,570.0,29.0,3.8,-0.05740727803255294,73.0,0.0
AAA,2013J,59185,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,0,587.0,18.0,4.772357723577236,-0.026473761561169748,67.0,-1.0
AAA,2013J,62155,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass,0,865.0,30.0,4.505208333333333,0.4793802136767436,73.0,-2.0
AAA,2013J,63400,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,Pass,0,917.0,38.0,4.3875598086124405,0.5740003817068569,83.0,0.0
AAA,2013J,65002,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn,1,97.0,7.0,3.3448275862068964,-0.9180868833833911,66.0,-11.0
AAA,2013J,70464,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,0,484.0,19.0,4.440366972477064,-0.2138944790054326,59.0,0.0
AAA,2013J,71361,M,Ireland,HE Qualification,?,35-55,0,60,N,Pass,0,1166.0,38.0,3.899665551839465,1.0270854170818224,82.0,0.0
AAA,2013J,74372,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,150,N,Fail,1,39.0,5.0,1.6956521739130435,-1.0236247631092867,60.0,3.0
AAA,2013J,75091,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,0,1066.0,33.0,4.9581395348837205,0.8451235554854507,67.0,-1.0
AAA,2013J,77367,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,0,318.0,29.0,2.7413793103448274,-0.5159511692554096,73.0,-1.0
AAA,2013J,91265,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,Pass,0,436.0,24.0,3.4330708661417324,-0.301236172571691,75.0,2.0
AAA,2013J,94961,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Withdrawn,1,294.0,19.0,3.340909090909091,-0.5596220160385389,74.0,-11.0
AAA,2013J,98094,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Pass,0,1212.0,32.0,7.25748502994012,1.1107878734161534,62.0,-1.0
AAA,2013J,100893,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,0,273.0,19.0,3.033333333333333,-0.5978340069737769,63.0,-2.0
AAA,2013J,101781,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass,0,1608.0,32.0,6.256809338521401,1.8313568453377853,84.0,-3.0
AAA,2013J,102806,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,0,670.0,41.0,3.175355450236967,0.12455458356381877,80.0,0.0
AAA,2013J,102952,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass,0,444.0,14.0,4.396039603960396,-0.2866792236439813,76.0,0.0
