code_module,code_presentation,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,sum_click,date_registration,Risk_Probability,ML_Prediction,Intervention_Status
4,1,1,6,1,5,0,-0.3402289803143462,-0.4810830156421974,0,0.3916265917325945,0.678267547170331,11.1%,0,Safe: On Track
3,1,1,7,1,7,2,-0.3402289803143462,0.9797921832794844,0,0.0099603905169743,-0.3164590746335577,25.3%,0,Safe: On Track
1,3,0,3,4,2,1,-0.3402289803143462,0.9797921832794844,0,-0.4449668152663498,1.124879499816975,39.8%,0,Safe: On Track
2,2,0,9,0,4,0,-0.3402289803143462,-0.4810830156421974,0,-0.7179231387363445,-1.2096829799268458,87.7%,1,ACTION REQUIRED: High Risk
6,2,0,3,2,2,0,-0.3402289803143462,-1.2115206151030389,0,-0.7179231387363445,1.246682759629696,38.0%,0,Safe: On Track
2,3,1,6,2,5,0,-0.3402289803143462,-1.2115206151030389,0,-0.355753817768581,-0.0931530983102358,36.5%,0,Safe: On Track
1,3,0,2,1,6,0,-0.3402289803143462,-0.4810830156421974,0,-0.4077454984295324,-0.7630710272802019,32.8%,0,Safe: On Track
1,1,0,1,0,2,1,-0.3402289803143462,-0.4810830156421974,1,-0.5158645616221926,0.4752621141491293,40.7%,1,ACTION REQUIRED: High Risk
5,1,1,11,2,3,0,1.7441851466378124,1.7102297827403254,0,-0.3923843200524332,-0.681868854071721,63.8%,1,ACTION REQUIRED: High Risk
5,0,1,0,0,7,0,-0.3402289803143462,-0.4810830156421974,0,1.577391399534064,0.8203713502851724,7.6%,0,Safe: On Track
1,3,0,11,0,3,0,-0.3402289803143462,2.440667382201166,0,-0.7179231387363445,-0.6209672241653605,92.3%,1,ACTION REQUIRED: High Risk
6,3,0,10,2,4,0,-0.3402289803143462,0.2493545838186435,1,-0.1726013063493206,1.368486019442417,21.2%,0,Safe: On Track
1,1,0,1,2,4,0,-0.3402289803143462,-0.4810830156421974,0,-0.3782047707812646,0.5158632007533696,31.9%,0,Safe: On Track
0,3,1,9,0,8,1,-0.3402289803143462,-0.4810830156421974,0,-0.2984448061309415,-1.3720873263438071,29.0%,0,Safe: On Track
1,0,0,7,0,5,0,-0.3402289803143462,-0.4810830156421974,1,-0.2689040784826737,0.8000708069830522,19.7%,0,Safe: On Track
3,3,1,11,2,3,0,-0.3402289803143462,-0.4810830156421974,0,-0.4461484443722806,0.9421746100978934,57.3%,1,ACTION REQUIRED: High Risk
0,1,1,1,0,1,0,-0.3402289803143462,0.9797921832794844,0,-0.2470439400229555,-1.1690818933226053,22.7%,0,Safe: On Track
5,0,1,6,0,1,1,-0.3402289803143462,-0.2376038158219171,0,-0.5335889982111534,1.226382216327576,63.9%,1,ACTION REQUIRED: High Risk
6,3,1,6,3,3,1,-0.3402289803143462,-1.2115206151030389,0,-0.5241359653637077,0.0489507048046054,16.3%,0,Safe: On Track
1,0,0,6,1,6,1,-0.3402289803143462,0.9797921832794844,0,-0.096977043569755,-0.4991639643526394,18.5%,0,Safe: On Track
1,1,0,11,2,2,0,-0.3402289803143462,-0.4810830156421974,0,-0.7179231387363445,-0.6615683107696009,82.2%,1,ACTION REQUIRED: High Risk
5,2,1,8,0,3,1,-0.3402289803143462,0.9797921832794844,0,0.8093324806791012,0.0895517914088458,10.7%,0,Safe: On Track
5,3,1,5,0,2,1,-0.3402289803143462,-0.4810830156421974,1,-0.543042031058599,0.6376664605660907,62.0%,1,ACTION REQUIRED: High Risk
1,3,0,0,2,8,0,3.828599273589971,0.9797921832794844,0,-0.3592987050863732,0.1910545079194467,32.3%,0,Safe: On Track
3,3,1,12,0,0,0,-0.3402289803143462,0.9797921832794844,0,-0.662386570757601,0.3534588543364081,88.7%,1,ACTION REQUIRED: High Risk
5,0,1,0,1,9,1,-0.3402289803143462,1.7102297827403254,0,0.2244260732433987,1.104578956514855,17.0%,0,Safe: On Track
5,2,1,1,0,7,0,1.7441851466378124,-0.4810830156421974,0,2.0736756240249634,-1.4532894995522878,9.1%,0,Safe: On Track
1,2,0,8,2,7,0,-0.3402289803143462,0.9797921832794844,0,-0.6476162069334671,-0.3570601612377981,69.2%,1,ACTION REQUIRED: High Risk
5,1,1,4,2,2,0,-0.3402289803143462,-0.4810830156421974,0,-0.2216389142454452,-1.2096829799268458,57.4%,1,ACTION REQUIRED: High Risk
0,1,1,2,1,7,1,-0.3402289803143462,0.9797921832794844,0,1.4350050922694133,0.4143604842427688,18.1%,0,Safe: On Track
5,2,1,9,0,5,0,-0.3402289803143462,-0.4810830156421974,0,0.01941342336442,0.0895517914088458,22.5%,0,Safe: On Track
3,3,1,5,0,3,0,-0.3402289803143462,0.9797921832794844,0,-0.7179231387363445,0.5158632007533696,92.3%,1,ACTION REQUIRED: High Risk
2,2,1,0,2,9,0,-0.3402289803143462,-1.2115206151030389,0,-0.6038959300140307,0.9421746100978934,70.9%,1,ACTION REQUIRED: High Risk
2,3,1,7,0,3,0,-0.3402289803143462,-0.4810830156421974,1,-0.6163030356263032,1.0436773266084944,67.3%,1,ACTION REQUIRED: High Risk
2,3,1,5,0,5,1,-0.3402289803143462,-0.4810830156421974,0,-0.5282716672344652,1.2060816730254558,57.8%,1,ACTION REQUIRED: High Risk
1,2,0,4,2,8,0,-0.3402289803143462,0.9797921832794844,0,-0.4845513903150287,-0.9051748303950432,48.1%,1,ACTION REQUIRED: High Risk
2,2,1,5,2,0,1,-0.3402289803143462,-0.4810830156421974,0,-0.6015326718021693,0.9624751534000135,65.3%,1,ACTION REQUIRED: High Risk
3,3,0,0,0,9,1,-0.3402289803143462,-0.4810830156421974,0,0.1830690545358237,-0.8848742870929229,12.4%,0,Safe: On Track
